person_id,ruling
adam-crockett,same
mike-madeoy,same
chris-wicklund,same
mark-dias,same
tawnya-pettifordwates,same
matt-soell,same
isaac-hunt,same
paul-morris,same
andrew-mckaige,same
eric-roberts,same
david-dunn,same
lorraine-mclees,same
ken-boynton,same
xi-wang,same
todd-licea,same
tim-gouran,same
coby-bell,same
jon-huertas,same
greg-grunberg,same
ron-livingston,same
aisha-tyler,same
tim-dadabo,same
nerses-gezalyan,same
randy-pagulayan,same
mike-yurka,same
david-cook,same
christopher-davis,same
jason-saldana,same
matt-lee,same
julian-moseley,same
mike-ellis,same
tim-fields,same
craig-marshall,same
kristoffer-larson,same
keith-silverstein,same
debra-wilson,same
xhavar-strothers,same
micha-b-onski,same
ukasz-mikusek,same
kelly-rains,same
brian-jarrard,same
robin-atkin-downes,same
john-kassir,same
jeremy-fischer,same
luke-smith,same
jake-jarvis,same
wei-chen,same
josh-paraventi,same
courtenay-taylor,same
leo-martinez,same
troy-mcfarland,same
bryan-koski,same
richard-chen,same
