name_raw,name_canonical,category,role_raw,character,studio,inclusion_class,source_ref
Lindsay Morgan Lockhart,,Design,Narrative Design,,,core,mobygames:tr19
Daniel Asher Harman,,Voice,Vignette Animation,,,core,mobygames:tr31
Nathan Gregory,,Art,Campaign Environment Art,,,core,mobygames:tr38
Christopher Lomaka,,Voice,Campaign Environment Art,,,core,mobygames:tr38
Brian Christian,,Art,Cinematics Environment Art Lead,,,core,mobygames:tr39
Timothy Diaz,,Art,Multiplayer Environment Art,,,core,mobygames:tr44
Michael Murrill,,Art,Multiplayer Environment Art,,,core,mobygames:tr44
Benjamin Mark Nicholas,,Voice,Multiplayer Environment Art,,,core,mobygames:tr44
Mark Nicolino,,Voice,Multiplayer Environment Art,,,core,mobygames:tr44
Robert Forest Baker,,Art,FX Art,,,core,mobygames:tr48
Olivier Bil Leeman,,Voice,FX Art,,,core,mobygames:tr48
Kenny Magnussen,,Art,Lighting Lead,,,core,mobygames:tr49
Hanhee Hailey Lee,,Voice,Skybox Art,,,core,mobygames:tr52
Kimberly A. Haines,,Art,Tech Art,,,core,mobygames:tr54
Matthew Osbond,,Art,Tech Art,,,core,mobygames:tr54
Matthew Sutherlin,,Art,Tech Art,,,core,mobygames:tr54
Xiaoxi Liu,,Voice,Tech Art,,,core,mobygames:tr54
J. M. Albertson,,Engineering,Systems Engineering,,,core,mobygames:tr79
Robert Austin,,Engineering,Systems Engineering,,,core,mobygames:tr79
Mark D. Andersen,,Engineering,Tools Engineering Lead,,,core,mobygames:tr80
Lina Sokaite Gaeta,,Engineering,Tools Engineering,,,core,mobygames:tr81
Andrew Luedke,,Engineering,Graphics Engineering Area Lead,,,core,mobygames:tr83
Douglas Barnes,,Engineering,Multiplayer Engineering,,,core,mobygames:tr88
Alyson Szymanski,,Voice,Campaign Production,,,core,mobygames:tr94
Casey Marissa Wu,,Art,Tools & Tech Art Production,,,core,mobygames:tr103
John T. Evans,,Voice,Mongoose Test,,,core,mobygames:tr133
Bonnie Ross-Ziegler,,Leadership,"Corporate Vice President, Head of 343 Industries",,,core,mobygames:tr138
Daniel M. Ayoub,,Leadership,"Studio Head, External Development",,,core,mobygames:tr139
Steven Boyce,,Voice,Test Reserves,,,core,mobygames:tr177
Josh Breese,,Voice,Test Reserves,,,core,mobygames:tr177
Raymond Butchko,,Voice,Test Reserves,,,core,mobygames:tr177
Baabak Nassirrian,,Voice,Test Reserves,,,core,mobygames:tr177
Brian Sulpicio Roque Larcena,,Voice,Test Reserves,,,core,mobygames:tr177
Crystal N. Thelin,,Voice,Test Reserves,,,core,mobygames:tr177
C. Riana Manuel-Peña,,Voice,Localization,,,publishing,mobygames:tr187
Gabriel Smith,,Voice,Localization,,,publishing,mobygames:tr187
Thomas Bowers,,Audio,Orchestra Leader,,,core,mobygames:tr212
Jim McLeod,,Audio,Violins,,,core,mobygames:tr213
Andy Parker,,Audio,Violas,,,core,mobygames:tr214
David Daniels,,Audio,Celli,,,core,mobygames:tr215
Stephen Mair,,Audio,Basses,,,core,mobygames:tr216
Steve Williams,,Audio,Basses,,,core,mobygames:tr216
Nicholas Abby,,Audio,Basses,,,core,mobygames:tr216
Peter Smith,,Audio,Tuba / Cimbasso,,,core,mobygames:tr221
Mike Patti,,Other,Custom Percussion Sampling by,,,core,mobygames:tr238
Anne-Katherin Dern,,Other,Custom Percussion Sampling by,,,core,mobygames:tr238
Cenda Kotzmann,,Audio,Assistant Engineer,,,core,mobygames:tr246
James D. Mortellaro,,Audio,Casting Director,,,core,mobygames:tr257
Alyson Dee Moore,,Audio,Foley Artists,,,core,mobygames:tr258
Mary Jo Lang,,Audio,Foley Mixers,,,core,mobygames:tr259
Roland N. Thai,,Audio,WB Audio Team,,,core,mobygames:tr260
John Paul Fasal,,Audio,WB Audio Team,,,core,mobygames:tr260
Ikechukwu Prince Amadi,,Voice,Voice Actor,,,core,mobygames:tr262
Steven Jay Blum,,Voice,Voice Actor,,,core,mobygames:tr264
John Eric Bentley,,Voice,Voice Actor,,,core,mobygames:tr286
Kimberly D. Brooks,,Voice,Voice Actor,,,core,mobygames:tr286
Anthony Hansen,,Voice,Voice Actor,,,core,mobygames:tr286
Brandon James Keener,,Voice,Voice Actor,,,core,mobygames:tr286
Jason J. Lewis,,Voice,Voice Actor,,,core,mobygames:tr286
David B. Mitchell,,Voice,Voice Actor,,,core,mobygames:tr286
Courtenay Kellen Taylor,,Voice,Voice Actor,,,core,mobygames:tr286
Michelle C. Lee,,Voice,Voice Actor,,,core,mobygames:tr287
Paisha Coffey,,Voice,Voice Actor,,,core,mobygames:tr292
Joanna Van Gansen,,Special Thanks,Special Thanks,,,special-thanks,mobygames:tr307
Christiana Ventura,,Special Thanks,Special Thanks,,,special-thanks,mobygames:tr307
Pietro Verrecchia,,Special Thanks,Special Thanks,,,special-thanks,mobygames:tr307
Todd Williams,,Special Thanks,Special Thanks,,,special-thanks,mobygames:tr307
Peter Quickert,,Engineering,Additional Engineering by SkyBox Labs,,SkyBox Labs,core,mobygames:tr174
Matt B. Chang,,Voice,Microsoft Marketing & Public Relations,,,publishing,mobygames:tr185
Jennifer Estrada,,Voice,Microsoft Marketing & Public Relations,,,publishing,mobygames:tr185
Xavier Anthony,,Voice,Special Thanks,,,special-thanks,mobygames:tr307
Matthew V. Booty,,Special Thanks,Special Thanks,,,special-thanks,mobygames:tr307
Nate W. Brown,,Voice,Special Thanks,,,special-thanks,mobygames:tr307
Anthony Brian,,Voice,Special Thanks,,,special-thanks,mobygames:tr307
Michael Cerullo,,Voice,Special Thanks,,,special-thanks,mobygames:tr307
Timothy Chen,,Special Thanks,Special Thanks,,,special-thanks,mobygames:tr307
Jon Gill,,Special Thanks,Special Thanks,,,special-thanks,mobygames:tr307
David McCarthy,,Special Thanks,Special Thanks,,,special-thanks,mobygames:tr307
Gustavo H. Mendonça,,Voice,Special Thanks,,,special-thanks,mobygames:tr307
William M. Mozell,,Special Thanks,Special Thanks,,,special-thanks,mobygames:tr307
Satya Narayana Nadella,,Special Thanks,Special Thanks,,,special-thanks,mobygames:tr307
Richard L. Seaborne,,Special Thanks,Special Thanks,,,special-thanks,mobygames:tr307
Jonathan Segal,,Special Thanks,Special Thanks,,,special-thanks,mobygames:tr307
Kristin A. Siu,,Special Thanks,Special Thanks,,,special-thanks,mobygames:tr307
Alexander D. Wilson,,Voice,Special Thanks,,,special-thanks,mobygames:tr307
Makoa Kenji Robles,,Production,Production Babies,,,babies,mobygames:tr309
Flynn Xavier John Sanchez,,Production,Production Babies,,,babies,mobygames:tr309
