name_raw,name_canonical,category,role_raw,character,studio,inclusion_class,source_ref
Mike C. Hall,,Voice,Character Animation,,,core,mobygames:tr11
Angelita R. Wylie,,Art,Senior Technical Motion Capture Animator,,,core,mobygames:tr25
Daniel Tafaro,,Art,Technical Motion Capture Animation,,,core,mobygames:tr26
Benjamin Mauro,,Art,Senior Concept Artists,,,core,mobygames:tr45
Zackry Lee,,Voice,Concept Art,,,core,mobygames:tr46
Espen Sætervik,,Voice,Concept Art,,,core,mobygames:tr46
Timothy Diaz,,Art,Senior Environment Artists,,,core,mobygames:tr51
Ryan Smith,,Art,Senior Environment Artists,,,core,mobygames:tr51
Michael Rodriguez,,Voice,Campaign Environment Art,,,core,mobygames:tr53
Joshua Wilkinson,,Voice,Campaign Environment Art,,,core,mobygames:tr53
Kimberly A. Haines,,Art,Senior Technical Environment Artist,,,core,mobygames:tr67
William Gray,,Voice,Technical Environment Art,,,core,mobygames:tr69
Robert Forest Baker,,Art,Senior FX Artist,,,core,mobygames:tr72
Michael Puoci,,Voice,FX,,,core,mobygames:tr75
Nicholas D'Amato,,Voice,Audio Design,,,core,mobygames:tr95
Paxson Helgesen,,Voice,Audio Design,,,core,mobygames:tr95
Colin Andrew Grant,,Voice,Music,,,core,mobygames:tr99
Adam T. Croft,,Voice,Audio Technical Design,,,core,mobygames:tr102
Thornton Prime,,Voice,Audio Technical Design,,,core,mobygames:tr102
Nixxi Isabella Mohilchock,,Voice,Gameplay Design,,,core,mobygames:tr113
Andrew J. Witts,,Design,Multiplayer Lead Modes & Systems Designer,,,core,mobygames:tr139
Stéphane D. LeBrun,,Engineering,Senior Software Engineering Lead,,,core,mobygames:tr179
Daniel White,,Engineering,Software Engineers,,,core,mobygames:tr185
James Osborne,,Engineering,Principal Software Engineering Lead,,,core,mobygames:tr192
Saul D. Rodriguez Vazquez,,Voice,Software Engineers,,,core,mobygames:tr194
Garret B. Hoffman,,Voice,Software Engineers,,,core,mobygames:tr203
xo corvus,,Engineering,Software Engineers,,,core,mobygames:tr203
Ilya Kushin,,Engineering,Senior Software Engineers,,,core,mobygames:tr220
Joshua Hoida,,Engineering,Senior Engineering Lead,,,core,mobygames:tr235
Joseph Park,,Voice,Software Engineers,,,core,mobygames:tr236
Andrew David Adam,,Engineering,Senior Software Engineers,,,core,mobygames:tr239
Michael Romero,,Engineering,"Principal Software Engineering Manager, Graphics & PC",,,core,mobygames:tr243
Anirudh Shastry,,Engineering,Principal Software Engineering Managers,,,core,mobygames:tr252
Andrew Luedke,,Engineering,Principal Software Engineering Lead,,,core,mobygames:tr253
Karim A. Luccin,,Engineering,Principal Software Engineers,,,core,mobygames:tr254
Ching-Yen Lin,,Voice,Software Engineers,,,core,mobygames:tr256
Matthew Sutherlin,,Engineering,Software Engineers,,,core,mobygames:tr256
Kevin M. Forsyth,,Voice,Engineering Helpdesk,,,core,mobygames:tr258
Nick Frame,,Voice,Engineering Helpdesk,,,core,mobygames:tr258
Phillip Dettorre,,Engineering,Software Engineers,,,core,mobygames:tr262
Jon David Stevens,,Voice,Software Engineers,,,core,mobygames:tr271
Lina Sokaite Gaeta,,Engineering,Senior Software Engineering Lead,,,core,mobygames:tr274
Zachary Lute,,Engineering,Senior Software Engineers,,,core,mobygames:tr276
Matthew Johnson,,Voice,Software Engineers,,,core,mobygames:tr277
Gregory Stone,,Production,"Principal Lead Producer, Campaign",,,core,mobygames:tr281
Casey Marissa Wu,,Engineering,"Lead Producer, Core Tech",,,core,mobygames:tr285
David Ellison,,Voice,Producer,,,core,mobygames:tr299
Daniel Joji Koons,,Voice,Software Test Engineers,,,core,mobygames:tr359
Robert Reidburn,,Voice,Software Test Engineers,,,core,mobygames:tr359
