name_raw,name_canonical,category,role_raw,character,studio,inclusion_class,source_ref
Daniel M. Ayoub,,Production,Executive Producer,,,core,mobygames:tr1
Jay Juneau,,Production,Producers,,,core,mobygames:tr3
Bonnie Ross-Ziegler,,Leadership,"Corporate Vice President, Head of 343 Industries",,,core,mobygames:tr21
Michael Cimprich,,Engineering,Software Development Engineers,,,core,mobygames:tr38
Kamel Dupuis-Perez,,Production,Studios Release Managers,,,core,mobygames:tr75
Paul Stoughton,,Audio,Sound Designer,,,core,mobygames:tr82
Brian Lee White,,Audio,Adapted and Orchestrated By,,Finishing Move Inc.,core,mobygames:tr84
Misha Mansoor,,Audio,Additional Music,,,core,mobygames:tr86
Brian Lee White,,Audio,Audio Director/Score Supervisor,,Finishing Move Inc.,core,mobygames:tr88
Brian Lee White,,Audio,Project and Asset Management,,Finishing Move Inc.,core,mobygames:tr89
Brian Lee White,,Audio,Scoring Mixers,,Finishing Move Inc.,core,mobygames:tr90
Laurence Schwarz,,Audio,Additional Score Mixers,,Finishing Move Inc.,core,mobygames:tr91
Seth Waldmann,,Audio,Additional Score Mixers,,Finishing Move Inc.,core,mobygames:tr91
Ryan Sanchez,,Audio,Assistant Audio Engineer,,Finishing Move Inc.,core,mobygames:tr92
Brian Lee White,,Audio,Music Editing,,Finishing Move Inc.,core,mobygames:tr93
Kieran De Leon-Horton,,Audio,Production Assistants,,Finishing Move Inc.,core,mobygames:tr94
Sandra Lew,,Audio,Production Assistants,,Finishing Move Inc.,core,mobygames:tr94
Kathryn Amyotte,,Audio,Vocalists,,Finishing Move Inc.,core,mobygames:tr95
Brian Lee White,,Audio,Guitars,,Finishing Move Inc.,core,mobygames:tr96
Brian Lee White,,Audio,Bass,,Finishing Move Inc.,core,mobygames:tr97
Jason Bowld,,Audio,Additional Drums,,Finishing Move Inc.,core,mobygames:tr98
Daniel Berkman,,Audio,Additional Percussion,,Finishing Move Inc.,core,mobygames:tr99
Phil Moore,,Audio,Music Prep,,Finishing Move Inc.,core,mobygames:tr100
Brad Ritchie,,Audio,Music Prep,,Finishing Move Inc.,core,mobygames:tr100
Jason Henke,,Audio,Vector Management,,Finishing Move Inc.,core,mobygames:tr101
Bob Burwell,,Audio,Vector Management,,Finishing Move Inc.,core,mobygames:tr101
Geoff Luttrell,,Audio,Guitar Tech,,Finishing Move Inc.,core,mobygames:tr102
Misha Mansoor,,Audio,Guitar Tech,,Finishing Move Inc.,core,mobygames:tr102
Nikhil Potdar,,Audio,Outerloop Management,,Finishing Move Inc.,core,mobygames:tr103
Mike Mowery,,Audio,Outerloop Management,,Finishing Move Inc.,core,mobygames:tr103
