name_raw,name_canonical,category,role_raw,character,studio,inclusion_class,source_ref
Rajeev Nattam,,Art,3D Artists,,,core,mobygames:tr3
Michael Baldwin,,Engineering,Sandbox Engineers,,,core,mobygames:tr13
Daniel Miller,,Design,Mission Designers,,,core,mobygames:tr20
Mark Flieg Jr.,,Art,FX Artists,,,core,mobygames:tr32
Lee R. Wilson,,Art,Story and Cinematic Lead,,,core,mobygames:tr38
Charles Gough,,Engineering,Engineering Overhead,,,core,mobygames:tr39
Nile Rodgers,,Audio,Halo 2 Soundtrack 'Never Surrender' appears Courtesy of,,,core,mobygames:tr97
Dorje Bellbrook,,Art,Concept Art,,,core,mobygames:tr101
Andrew Firth,,Engineering,Engineering,,,core,mobygames:tr103
Adrian Mark Perez,,Engineering,Engineering,,,core,mobygames:tr103
Phil Kauffmann,,Studio/Business,Security,,,core,mobygames:tr130
Ken Malcom,,Other,The Rest of Bungie,,,core,mobygames:tr133
Jim Charne,,Special Thanks,Legal,,,special-thanks,mobygames:tr137
Matthew Seiji Burns,,Production,Producer,,,special-thanks,mobygames:tr140
Clifford Allen Garrett,,Special Thanks,Xbox,,,special-thanks,mobygames:tr142
Stephen Theodore,,Art,Technical Artist,,,special-thanks,mobygames:tr144
Donald McGowan,,Special Thanks,Microsoft,,,special-thanks,mobygames:tr148
Samuel Heine,,Audio,Animators,,Aquent,core,mobygames:tr155
Esequiel Ramon Garcia,,Audio,3D Artists,,Filter,core,mobygames:tr156
Jason R. Keith,,Audio,Environment Artists,,Aquent,core,mobygames:tr157
Anthony Vaccaro,,Audio,Environment Artists,,Aquent,core,mobygames:tr157
Hong-Wei David Liu,,Audio,Sound Designers,,Aquent,core,mobygames:tr165
Jason Garris Jones,,Audio,Rigger,,Xversity,core,mobygames:tr167
Joe Sifferman,,QA,AI Tester,,Volt,core,mobygames:tr173
Mariana Sulcs,,QA,Localization Testers,,Volt,publishing,mobygames:tr174
Andra Ion Niculescu,,QA,Localization Testers,,Comsys,publishing,mobygames:tr174
Eddie Nunez-Tovar,,QA,Localization Testers,,Volt,publishing,mobygames:tr174
Lucy Ainsworth,,QA,Testers,,Xversity,core,mobygames:tr175
Josh Anderson,,QA,Testers,,Volt,core,mobygames:tr175
Michael Axworthy,,QA,Testers,,Excell,core,mobygames:tr175
Daniel Callan,,QA,Testers,,Excell,core,mobygames:tr175
Andrew Howell,,QA,Testers,,Comsys,core,mobygames:tr175
Micah C. Jelmberg,,QA,Testers,,Xversity,core,mobygames:tr175
Nina Harrison,,Publishing,Recruiting Coordinator,,Xversity,core,mobygames:tr179
Hakeem Kae-Kazim,,Voice,Voice Actor,,,core,mobygames:tr184
Carole J. Ruggier,,Voice,Voice Actor,,,core,mobygames:tr188
Marcella Lentz Pope,,Voice,Voice Actor,,,core,mobygames:tr190
Philip Anthony-Rodriguez,,Voice,Voice Actor,,,core,mobygames:tr191
Amanda Philipson,,Voice,Voice Actor,,,core,mobygames:tr192
Patrick Gallagher,,Voice,Voice Actor,,,core,mobygames:tr195
Courtenay Kellen Taylor,,Voice,Voice Actor,,,core,mobygames:tr198
Hans Altweis,,Voice,Motion Capture and Facial Performers,,,core,mobygames:tr220
Noah P. Musler,,Publishing,Business Development Manager,,,publishing,mobygames:tr228
Bonnie Ross-Ziegler,,Publishing,General Manager,,,publishing,mobygames:tr229
Daniel M. Ayoub,,Production,Executive Producers,,,publishing,mobygames:tr241
Michael Stout,,Production,Senior Product Manager,,,publishing,mobygames:tr259
Kyungsik Hwang,,Publishing,Project Managers,,GlobalWay Co. LTD,publishing,mobygames:tr265
Vincent Chia-Lun Tsai,,QA,Testers,,Keywords International,publishing,mobygames:tr273
Christopher Barker,,QA,MGS Contract Test,,Excell,publishing,mobygames:tr277
Matt Bombard,,QA,MGS Contract Test,,Volt,publishing,mobygames:tr277
Robert Campbell,,QA,MGS Contract Test,,Excell,publishing,mobygames:tr277
Kyle Green,,QA,MGS Contract Test,,Volt,publishing,mobygames:tr277
Scott Kenkelborg,,QA,MGS Contract Test,,Excell,publishing,mobygames:tr277
Aaron Elliott,,Special Thanks,Special Thanks,,,special-thanks,mobygames:tr279
Andrea Luigi Francesco Giolito,,Special Thanks,Special Thanks,,,special-thanks,mobygames:tr279
Steven Kastner,,Special Thanks,Special Thanks,,,special-thanks,mobygames:tr279
Christopher Lee,,Special Thanks,Special Thanks,,,special-thanks,mobygames:tr279
Jeff Rivait,,Special Thanks,Special Thanks,,,special-thanks,mobygames:tr279
Taylor Smith Sr.,,Special Thanks,Special Thanks,,,special-thanks,mobygames:tr279
Timo Sulzle,,Special Thanks,Special Thanks,,,special-thanks,mobygames:tr279
Cindy Tomkins,,Special Thanks,Special Thanks,,,special-thanks,mobygames:tr279
Eddie Kim,,Art,Cinematics,,,core,mobygames:tr281
