game_id,credit_order,name_raw,name_canonical,category,role_raw,character,studio,inclusion_class,source_ref
halo-4,0,David Berger,,Engineering,ENGINEERING LEAD,,,core,L26
halo-4,1,David Brickhill,,Other,PIPELINE LEAD,,,core,L28
halo-4,2,Neill Harrison,,Art,ART MANAGER,,,core,L30
halo-4,3,Josh Holmes,,Other,CREATIVE DIRECTOR,,,core,L32
halo-4,4,Chris Lee,,Production,LEAD PRODUCER,,,core,L34
halo-4,5,Kenneth Scott,,Art,ART DIRECTOR,,,core,L36
halo-4,6,Sotaro Tojima,,Audio,AUDIO DIRECTOR,,,core,L38
halo-4,7,Scott Warner,,Design,LEAD DESIGNER,,,core,L40
halo-4,8,Kiki Wolfkill,,Production,EXECUTIVE PRODUCER,,,core,L42
halo-4,9,Frank O'Connor,,Other,FRANCHISE DIRECTOR,,,core,L45
halo-4,10,Ray Almaden,,Design,LEVEL DESIGN LEAD,,,core,L48
halo-4,11,Jesse Snyder,,Design,CAMPAIGN DESIGN LEAD,,,core,L50
halo-4,12,Jason Behr,,Design,Mission Design,,,core,L52
halo-4,13,Jacob Benton,,Design,Mission Design,,,core,L54
halo-4,14,Dan Callan,,Design,Mission Design,,,core,L56
halo-4,15,Paul Ehreth,,Design,Mission Design,,,core,L58
halo-4,16,Chris French,,Design,Mission Design,,,core,L60
halo-4,17,Tom French,,Design,Mission Design,,,core,L62
halo-4,18,Cory Hasselbach,,Design,Mission Design,,,core,L64
halo-4,19,Justin Lippert,,Design,Mission Design,,,core,L66
halo-4,20,Matthew Geer,,Design,Mission Design,,IFUSIONIT LLC,core,L68
halo-4,21,Quentin Arnold Rezin,,Design,Mission Design,,POPULUS GROUP LLC,core,L70
halo-4,22,Chris King,,Other,LEAD,,,core,L73
halo-4,23,Christopher Blohm,,Design,Sandbox Design,,,core,L75
halo-4,24,Matt Findley,,Design,Sandbox Design,,,core,L77
halo-4,25,Paul Parsons,,Design,Sandbox Design,,,core,L79
halo-4,26,Pierre Rivest,,Design,Sandbox Design,,,core,L81
halo-4,27,Ali Zandi,,Design,Sandbox Design,,,core,L83
halo-4,28,Kevin Franklin,,Design,WAR GAMES DESIGN LEAD,,,core,L86
halo-4,29,Chris Haluke,,Design,SPARTAN OPS DESIGN LEAD,,,core,L88
halo-4,30,Kynan Pearson,,Design,LEVEL DESIGN LEAD,,,core,L90
halo-4,31,Brad Welch,,Design,INFINITY DESIGN LEAD,,,core,L92
halo-4,32,David Ellis,,Design,Infinity Design,,,core,L94
halo-4,33,Greg Murphy,,Design,Infinity Design,,,core,L96
halo-4,34,Kevin Schmitt,,Design,Infinity Design,,,core,L98
halo-4,35,Branden Bean,,Design,Infinity Design,,YOH SERVICES LLC,core,L100
halo-4,36,Adrian Bedoya,,Design,Infinity Design,,HANSON CONSULTING GROUP,core,L102
halo-4,37,Jayce Diaz,,Design,Infinity Design,,INSIGHT GLOBAL,core,L104
halo-4,38,TJ Perillo,,Design,Infinity Design,,YOH SERVICES LLC,core,L106
halo-4,39,Lionel Ward,,Design,Infinity Design,,POPULUS GROUP LLC,core,L108
halo-4,40,Armando Troisi,,Narrative,Narrative Director,,,core,L111
halo-4,41,Christopher Schlerf,,Design,Narrative Design,,,core,L113
halo-4,42,Lindsay Lockhart,Morgan Lockhart,Design,Narrative Design,,INSIGHT GLOBAL,core,L115
halo-4,43,Nathan Moller,,Design,Narrative Design,,INSIGHT GLOBAL,core,L117
halo-4,44,Eric Schuh,,Other,LEAD,,,core,L120
halo-4,45,Greg Snook,,Other,LEAD,,,core,L123
halo-4,46,Aaron Leiby,,Engineering,Animation Engineering,,,core,L125
