game_id,credit_order,name_raw,name_canonical,category,role_raw,character,studio,inclusion_class,source_ref
halo-ce,0,Jason Jones,,Production,Project Lead,,,core,L17
halo-ce,1,Hamilton Chu,,Production,Lead Producer,,,core,L20
halo-ce,2,Rick Ryan,,Production,Producer,,,core,L23
halo-ce,3,Chris Butcher,,Engineering,Programmers,,,core,L26
halo-ce,4,Bernie Freidin,,Engineering,Programmers,,,core,L27
halo-ce,5,Charlie Gough,,Engineering,Programmers,,,core,L28
halo-ce,6,Mat Noguchi,,Engineering,Programmers,,,core,L29
halo-ce,7,Matt Segur,,Engineering,Programmers,,,core,L30
halo-ce,8,Eamon McKenzie,,Engineering,Additional Programming,,,core,L36
halo-ce,9,Ben Wallace,,Engineering,Additional Programming,,,core,L37
halo-ce,10,Marcus R. Lehto,,Art,Art Director,,,core,L41
halo-ce,11,Steve Abeyta,,Art,Assistant Art Lead,,,core,L45
halo-ce,12,Eric Arroyo,,Art,Artists,,,core,L48
halo-ce,13,Chris Barrett,,Art,Artists,,,core,L49
halo-ce,14,Mark Bernal,,Art,Artists,,,core,L50
halo-ce,15,David Dunn,,Art,Artists,,,core,L51
halo-ce,16,Chris Hughes,,Art,Artists,,,core,L52
halo-ce,17,Chris Lee,,Art,Artists,,,core,L53
halo-ce,18,Robert McLees,,Art,Artists,,,core,L54
halo-ce,19,Stephan Okasaki,,Art,Artists,,,core,L55
halo-ce,20,Paul Russel,,Art,Artists,,,core,L56
halo-ce,21,Shi Kai Wang,,Art,Artists,,,core,L57
halo-ce,22,Michael Wu,,Art,Artists,,,core,L58
halo-ce,23,Brian Shultz,,Art,Additional Art,,,core,L64
halo-ce,24,John Howard,,Design,Lead Designer,,,core,L68
halo-ce,25,Paul Bertone,,Design,Designers,,,core,L71
halo-ce,26,Tyson Green,,Design,Designers,,,core,L72
halo-ce,27,Jaime Griesemer,,Design,Designers,,,core,L73
halo-ce,28,Dan Orzulak,,Design,Designers,,,core,L74
halo-ce,29,Brannon Boren,,Narrative,Additional Writing,,,core,L77
halo-ce,30,Matt Soell,,Narrative,Additional Writing,,,core,L78
halo-ce,31,Eric S. Trautmann,,Narrative,Additional Writing,,,core,L79
halo-ce,32,Michael Evans,,Production,Multiplayer Project Lead,,,core,L82
halo-ce,33,Adrian Perez,,Engineering,Multiplayer Programmers,,,core,L85
halo-ce,34,Stefan Sinclair,,Engineering,Multiplayer Programmers,,,core,L86
halo-ce,35,Hardy LeBel,,Design,Multiplayer Lead Designer,,,core,L89
halo-ce,36,Chris Carney,,Art,Multiplayer Artists,,,core,L93
halo-ce,37,Peter Marks,,Art,Multiplayer Artists,,,core,L94
halo-ce,38,Derrick Moore,,Art,Multiplayer Artists,,,core,L95
halo-ce,39,Stephan Okasaki,,Art,Multiplayer Artists,,,core,L96
halo-ce,40,Joseph Staten,,Art,Director of Cinematics,,,core,L99
halo-ce,41,Steve Abeyta,,Art,Cinematic Artists,,,core,L102
halo-ce,42,Paul Clift,,Art,Cinematic Artists,,,core,L103
halo-ce,43,Adam Crockett,,Art,Cinematic Artists,,,core,L104
halo-ce,44,Lorraine McLees,,Art,Cinematic Artists,,,core,L105
halo-ce,45,Stephan Okasaki,,Art,Cinematic Artists,,,core,L106
halo-ce,46,Lee Wilson,,Art,Storyboard Artist,,,core,L109
halo-ce,47,Craig Mullins,,Art,Matte and Concept Artist,,,core,L112
halo-ce,48,Martin O'Donnell,,Audio,"Audio Lead, Sound Design & Original Music",,,core,L115
halo-ce,49,Jay Weinland,,Audio,Sound Designer,,,core,L118
halo-ce,50,Michael Salvatori,,Audio,Additional Music,,,core,L121
halo-ce,51,Adam Tewes,,Audio,Additional Sound,,,core,L124
