game_id,credit_order,name_raw,name_canonical,category,role_raw,character,studio,inclusion_class,source_ref
halo-cea,0,Matthew Karch,,Other,CEO,,Saber Interactive,core,L23
halo-cea,1,Andrey Iones,,Production,COO/Executive Producer,,Saber Interactive,core,L25
halo-cea,2,Nick Madonna,,Production,Associate Producer,,Saber Interactive,core,L27
halo-cea,3,Anna Naleushkina,,Production,Associate Producer/Localization Manager,,Saber Interactive,publishing,L29
halo-cea,4,Sergey Rakhmanov,,Production,Associate Producer,,Saber Interactive,core,L31
halo-cea,5,Elena Sulimova,,Production,Associate Producer/Localization Manager,,Saber Interactive,publishing,L33
halo-cea,6,Andrey Grigorev,,Engineering,Programming Director,,Saber Interactive,core,L37
halo-cea,7,Roman Lebedev,,Engineering,Lead Project Programmer/Console Tech Lead,,Saber Interactive,core,L39
halo-cea,8,Pavel Kuznetsov,,Engineering,Lead Physics Programmer,,Saber Interactive,core,L41
halo-cea,9,Sergey Adveev,,Other,Game Integration Lead,,Saber Interactive,core,L43
halo-cea,10,Leonid Mashinsky,,Engineering,Game Integration Programmer,,Saber Interactive,core,L45
halo-cea,11,Maksim Gridnev,,Engineering,Game Integration Programmer,,Saber Interactive,core,L47
halo-cea,12,Victor Koryt'ko,,Engineering,Game Integration Programmer,,Saber Interactive,core,L49
halo-cea,13,Anton Krupkin,,Engineering,Lead Engine Programmer,,Saber Interactive,core,L52
halo-cea,14,Evgeniy Cimbaluk,,Audio,Senior Engine and Sound Programmer,,Saber Interactive,core,L54
halo-cea,15,Alexey Ivanov,,Engineering,Senior Engine Programmer,,Saber Interactive,core,L56
halo-cea,16,Ruslan Vizgalin,,Engineering,Lead Animation Programmer,,Saber Interactive,core,L58
halo-cea,17,Denis Sladkov,,Engineering,Lead Rendering Programmer,,Saber Interactive,core,L61
halo-cea,18,Aleksandr Skolunov,,Engineering,Senior Rendering Programmer,,Saber Interactive,core,L63
halo-cea,19,Aleksandr Smetkin,,Engineering,Senior Rendering Programmer,,Saber Interactive,core,L65
halo-cea,20,Leonid Fedorov,,Engineering,Rendering Programmer,,Saber Interactive,core,L67
halo-cea,21,Pavel Zagrebelnyiy,,Engineering,Rendering Programmer,,Saber Interactive,core,L69
halo-cea,22,Victor Bargachev,,Engineering,Rendering Programmer,,Saber Interactive,core,L71
halo-cea,23,Dmitry Brevdo,,Engineering,UI/TCR Lead Programmer,,Saber Interactive,core,L74
halo-cea,24,Anton Ivanov,,Engineering,Senior TCR/Build Programmer,,Saber Interactive,core,L76
halo-cea,25,Dmitry Shevchik,,Engineering,Senior UI programmer,,Saber Interactive,core,L78
halo-cea,26,Vladamir Orlov,,Engineering,UI Programmer,,Saber Interactive,core,L80
halo-cea,27,Aleksandr Artemenko,,Design,Additional UI Scripting,,Saber Interactive,core,L82
halo-cea,28,Stanislav Zainchkovskiy,,Engineering,Lead Network Programmer,,Saber Interactive,core,L85
halo-cea,29,Vasiliy Vishnevetskiy,,Engineering,Senior Network Programmer,,Saber Interactive,core,L87
halo-cea,30,Viktor Streltsov,,Engineering,Lead Technology & Tools Programmer,,Saber Interactive,core,L90
halo-cea,31,Alexey Naumov,,Engineering,Tools Programmer,,Saber Interactive,core,L92
halo-cea,32,Leonid Krot,,Engineering,Tools Programmer,,Saber Interactive,core,L94
halo-cea,33,Ivan Alaferov,,Engineering,Tools Programmer,,Saber Interactive,core,L96
halo-cea,34,Dmitriy Kholodov,,Art,Art Director,,Saber Interactive,core,L99
halo-cea,35,Petr Kudryashov,,Design,Lead Level Modeler,,Saber Interactive,core,L101
halo-cea,36,Elena Bondareva,,Other,Outsource Manager,,Saber Interactive,core,L103
halo-cea,37,Artem Shumnik,,Art,Lead Concept Artist,,Saber Interactive,core,L106
halo-cea,38,Vitaliy Anikin,,Art,Senior Concept Artist,,Saber Interactive,core,L108
