game_id,credit_order,name_raw,name_canonical,category,role_raw,character,studio,inclusion_class,source_ref
halo-infinite,0,Sparth Nicolas Bouvier,,Art,ART DIRECTOR,,,core,ART TEAM/ART TEAM#1
halo-infinite,1,Horia Dociu,,Art,ART DIRECTOR,,,core,ART TEAM/ART TEAM#2
halo-infinite,2,Neill Harrison,,Art,DIRECTOR OF ART MANAGEMENT,,,core,ART TEAM/ART TEAM#3
halo-infinite,3,Glenn Israel,,Art,"ART DIRECTOR, HALO INFINITE",,,core,ART TEAM/ART TEAM#4
halo-infinite,4,Donnie Taylor,,Art,"ART DIRECTOR, HALO INFINITE",,,core,ART TEAM/ART TEAM#5
halo-infinite,5,Ryan Trowbridge,,Art,TECHNICAL ART DIRECTOR,,,core,ART TEAM/ART TEAM#6
halo-infinite,6,Darren Bacon,,Art,ASSOCIATE ART DIRECTOR,,,core,ART TEAM/ART TEAM#7
halo-infinite,7,Martin Deschambault,,Art,ASSOCIATE ART DIRECTOR,,,core,ART TEAM/ART TEAM#8
halo-infinite,8,Justin Dinges,,Art,CAMPAIGN ART LEAD,,,core,ART TEAM/ART TEAM#9
halo-infinite,9,Patrick Gillette,,Art,ANIMATION DIRECTOR,,,core,ART TEAM/ANIMATION#12
halo-infinite,10,JuanCarlos Larrea,,Art,LEAD CHARACTER ANIMATORS,,,core,ART TEAM/Character Animation#15
halo-infinite,11,Joe Winter,,Art,LEAD CHARACTER ANIMATORS,,,core,ART TEAM/Character Animation#16
halo-infinite,12,Nick Avallone,,Art,SENIOR ANIMATORS,,,core,ART TEAM/Character Animation#18
halo-infinite,13,Colin Brown,,Art,ANIMATORS,,RYLEM,core,ART TEAM/Character Animation#20
halo-infinite,14,Shogna Chang,,Art,ANIMATORS,,TEKSYSTEMS INC,core,ART TEAM/Character Animation#21
halo-infinite,15,Andy Garcia,,Art,ANIMATORS,,DISYS,core,ART TEAM/Character Animation#22
halo-infinite,16,Mike Hall,,Art,ANIMATORS,,RYLEM,core,ART TEAM/Character Animation#23
halo-infinite,17,Marcia Hunsicker,,Art,ANIMATORS,,INSIGHT GLOBAL,core,ART TEAM/Character Animation#24
halo-infinite,18,Benjamin Norcross,,Art,ANIMATORS,,RANDSTAD,core,ART TEAM/Character Animation#25
halo-infinite,19,Marcellis Wentz,,Art,LEAD SANDBOX ANIMATOR,,,core,ART TEAM/Sandbox Animation#28
halo-infinite,20,Patrick Bryan,,Art,SENIOR ANIMATORS,,,core,ART TEAM/Sandbox Animation#30
halo-infinite,21,Evan Arny,,Art,SENIOR ANIMATORS,,,core,ART TEAM/Sandbox Animation#31
halo-infinite,22,Skai Chow,,Art,ANIMATORS,,AQUENT LLC,core,ART TEAM/Sandbox Animation#33
halo-infinite,23,Kevin Kaufman,,Art,ANIMATORS,,INSIGHT GLOBAL,core,ART TEAM/Sandbox Animation#34
halo-infinite,24,Ambika Luthra,,Art,ANIMATORS,,AQUENT GAMES,core,ART TEAM/Sandbox Animation#35
halo-infinite,25,Farzad Morshed,,Art,ANIMATORS,,RANDSTAD,core,ART TEAM/Sandbox Animation#36
halo-infinite,26,Morgan Nixon,,Art,ANIMATORS,,AQUENT GAMES,core,ART TEAM/Sandbox Animation#37
halo-infinite,27,Gibson Weitzel,,Art,ANIMATORS,,ARTECH,core,ART TEAM/Sandbox Animation#38
halo-infinite,28,David Yun,,Art,ANIMATORS,,COLLABERA,core,ART TEAM/Sandbox Animation#39
halo-infinite,29,Matt Campbell,,Art,CINEMATIC DIRECTOR,,,core,ART TEAM/Narrative Animation#42
