game_id,credit_order,name_raw,name_canonical,category,role_raw,character,studio,inclusion_class,source_ref
halo-mcc,0,Dan Ayoub,,Production,Executive Producer,,,core,November 2014 Launch/343 Industries/PUBLISHING@267001
halo-mcc,1,Dennis Ries,,Production,Senior Producer,,,core,November 2014 Launch/343 Industries/PUBLISHING@267128
halo-mcc,2,Isaac Christian,,Production,Producers,,,core,November 2014 Launch/343 Industries/PUBLISHING@267251
halo-mcc,3,Cade Myers,,Production,Producers,,Yoh Services LLC,core,November 2014 Launch/343 Industries/PUBLISHING@267288
halo-mcc,4,Jay “El Jefe Maestro” Juneau,,Production,Producers,,Hanson Consulting LLC,core,November 2014 Launch/343 Industries/PUBLISHING@267339
halo-mcc,5,Greg Hermann,,Engineering,Technical Director,,,core,November 2014 Launch/343 Industries/PUBLISHING@267671
halo-mcc,6,Paul Lipson,,Audio,Senior Audio Director,,,core,November 2014 Launch/343 Industries/PUBLISHING@267807
halo-mcc,7,Jay Prochaska,,Art,Art Director,,,core,November 2014 Launch/343 Industries/PUBLISHING@267933
halo-mcc,8,Albert Ng,,Art,Concept Artist,,Yoh Services LLC,core,November 2014 Launch/343 Industries/PUBLISHING@268063
halo-mcc,9,Isaac Bender,,Other,Senior SDE,,,core,November 2014 Launch/343 Industries/PUBLISHING@268325
halo-mcc,10,Andrew Schnickel,,Other,Senior SDE,,,core,November 2014 Launch/343 Industries/PUBLISHING@268359
halo-mcc,11,Ben Cammarano,,Other,Creative Director,,,core,November 2014 Launch/343 Industries/PUBLISHING@268495
halo-mcc,12,Max Szlagor,,Design,Senior Game Designer,,,core,November 2014 Launch/343 Industries/PUBLISHING@268631
halo-mcc,13,Daniel Ellis,,QA,Associate Producer in Test,,iFusionITLLC,core,November 2014 Launch/343 Industries/PUBLISHING@268771
halo-mcc,14,Frank O’Connor,,Other,Franchise Development Director,,,core,November 2014 Launch/343 Industries/FRANCHISE@269255
halo-mcc,15,Kevin Grace,,Other,Franchise Management,,,core,November 2014 Launch/343 Industries/FRANCHISE@269392
halo-mcc,16,Tyler Jeffers,,Production,Producers,,,core,November 2014 Launch/343 Industries/FRANCHISE@269515
halo-mcc,17,Carlos Naranjo,,Production,Producers,,,core,November 2014 Launch/343 Industries/FRANCHISE@269550
halo-mcc,18,Corrinne Robinson,,Production,Producers,,,core,November 2014 Launch/343 Industries/FRANCHISE@269586
halo-mcc,19,Che Chou,,Other,Franchise Media Manager,,,core,November 2014 Launch/343 Industries/FRANCHISE@269850
