game_id,credit_order,name_raw,name_canonical,category,role_raw,character,studio,inclusion_class,source_ref
halo-reach,0,Rob Adams,,Art,ENVIRONMENT ART LEAD,,,core,L49
halo-reach,1,Chris Alderson,,Art,3D ARTIST,,,core,L51
halo-reach,2,David Aldridge,,Engineering,NETWORKING ENGINEER,,,core,L53
halo-reach,3,David Allen,,Production,MULTIPLAYER PRODUCER,,,core,L55
halo-reach,4,Sam Arguez,,Art,ENVIRONMENT ART PRODUCER,,,core,L57
halo-reach,5,Chad Armstrong,,Design,MULTIPLAYER DESIGNER,,,core,L59
halo-reach,6,Tam Armstrong,,Engineering,ANIMATION ENGINEER,,,core,L61
halo-reach,7,Lars Bakken,,Design,FIREFIGHT/INVESTMENT DESIGN LEAD,,,core,L63
halo-reach,8,Mike Baldwin,,Engineering,SANDBOX ENGINEER,,,core,L65
halo-reach,9,Graham Bartlett,,Engineering,PRODUCTION ENGINEERING LEAD,,,core,L67
halo-reach,10,Matt Bennier,,Art,ENVIRONMENT ARTIST,,,core,L69
halo-reach,11,Paul Bertone Jr.,Paul Bertone,Design,ADDITIONAL DESIGN DIRECTION,,,core,L71
halo-reach,12,Travis Brady,,Art,3D ARTIST,,,core,L73
halo-reach,13,Ray Broscovak,,Art,ENVIRONMENT ARTIST,,,core,L75
halo-reach,14,Roberta Browne,,Art,ANIMATION TEAM LEAD,,,core,L77
halo-reach,15,Mick Buckmiller,,Art,ENVIRONMENT ARTIST,,,core,L79
halo-reach,16,Mike Buelterman,,Art,ENVIRONMENT ARTIST,,,core,L81
halo-reach,17,Javier Burgos,,Other,RIGGER,,,core,L83
halo-reach,18,Tom Burlington,,Art,ENVIRONMENT TECHNICAL ARTIST,,,core,L85
halo-reach,19,Jon Cable,,Engineering,SANDBOX ENGINEER,,,core,L87
halo-reach,20,Milton Cadogan,,Art,3D ARTIST,,,core,L89
halo-reach,21,David Candland,,Art,UI ART LEAD,,,core,L91
halo-reach,22,Frank Capezzuto,,Art,ENVIRONMENT ARTIST,,,core,L93
halo-reach,23,Chris Carney,,Design,MULTIPLAYER DESIGN LEAD,,,core,L95
halo-reach,24,Derek Carroll,,Design,MULTIPLAYER DESIGNER,,,core,L97
halo-reach,25,Steve Chon,,Art,CONCEPT ARTIST,,,core,L99
halo-reach,26,Alex Chu,,Art,CONCEPT ARTIST,,,core,L101
halo-reach,27,Jessica Coombs,,Art,3D ART PRODUCER,,,core,L103
halo-reach,28,Steve Cotton,,Art,ENVIRONMENT ART LEAD,,,core,L105
halo-reach,29,CJ Cowan,,Art,CINEMATIC LEAD,,,core,L107
halo-reach,30,Curtis Creamer,,Design,DESIGN TEAM MANAGER,,,core,L109
halo-reach,31,Andrew G Davis,,Art,UI ARTIST,,,core,L111
halo-reach,32,Vic DeLeon,,Art,ENVIRONMENT ARTIST,,,core,L113
halo-reach,33,Christian Diefenbach,,Engineering,INFRASTRUCTURE ENGINEER,,,core,L115
halo-reach,34,Tom Doyle,,Art,3D ART LEAD,,,core,L117
halo-reach,35,Dave Dunn,David Dunn,Art,ART TEAM MANAGER,,,core,L119
halo-reach,36,Max Dyckhoff,,Engineering,AI ENGINEER,,,core,L121
halo-reach,37,Eric Elton,,Art,3D ARTIST,,,core,L123
halo-reach,38,Jamie Evans,,QA,TEST MANAGER,,,core,L125
halo-reach,39,Brad Fish,,Engineering,UI ENGINEER,,,core,L127
halo-reach,40,Mark Flieg,,Art,FX ARTIST,,,core,L129
halo-reach,41,Chad Foxglove,,Art,FX ARTIST,,,core,L131
halo-reach,42,Brian Frank,,Design,MISSION DESIGNER,,,core,L133
halo-reach,43,David Gasca,,QA,SENIOR TEST ENGINEER,,,core,L135
halo-reach,44,Nick Gerrone,,QA,TEST ENGINEER,,,core,L137
halo-reach,45,Tom Gioconda,,Engineering,ONLINE ENGINEER,,,core,L139
halo-reach,46,Cyril Saint Girons,,Audio,AUDIO ENGINEER,,,core,L141
halo-reach,47,Bob Glessner,,Engineering,SANDBOX ENGINEER,,,core,L143
halo-reach,48,Mark Goldsworthy,,Art,SKY ARTIST,,,core,L145
halo-reach,49,Chris Gossett,,Engineering,ONLINE ENGINEERING LEAD,,,core,L147
halo-reach,50,Charlie Gough,,Engineering,ENGINEERING OVERHEAD,,,core,L149
halo-reach,51,Tyson Green,,Design,FIREFIGHT/SYSTEMS DESIGNER,,,core,L151
halo-reach,52,Josh Hamrick,,Design,SANDBOX DESIGNER,,,core,L153
halo-reach,53,Isaac Hannaford,,Art,CONCEPT ARTIST,,,core,L155
halo-reach,54,Andrew Harrison,,QA,TEST ENGINEER,,,core,L157
halo-reach,55,Cale Haskell,,Engineering,UI ENGINEER,,,core,L159
halo-reach,56,Justin Hayward,,Art,ENVIRONMENT LIGHTING LEAD,,,core,L161
halo-reach,57,James Haywood,,Art,TECHNICAL ARTIST,,,core,L163
halo-reach,58,David Helsby,,Art,ANIMATOR,,,core,L165
halo-reach,59,Mike Hoffman,,Art,ANIMATOR,,,core,L167
halo-reach,60,Yaohua Hu,,Engineering,GRAPHICS ENGINEER,,,core,L169
halo-reach,61,David Hunt,,Other,RIGGING LEAD,,,core,L171
halo-reach,62,Pat Jandro,,Art,CINEMATIC ANIMATOR,,,core,L173
halo-reach,63,Brian Jarrard,,Studio/Business,COMMUNITY & PR DIRECTOR,,,core,L175
halo-reach,64,C Paul Johnson,C Paul Johnson,Audio,SOUND DESIGN/ADDITIONAL MUSIC,,,core,L177
halo-reach,65,Samuel Jones,,Art,ENVIRONMENT ART LEAD,,,core,L179
halo-reach,66,Matt Kelly,,Art,ANIMATOR,,,core,L181
halo-reach,67,Justin Klaassen,,QA,TEST ENGINEER INTERN,,,core,L183
halo-reach,68,Domenic Koeplin,,Production,RELEASE MANAGER,,,core,L185
halo-reach,69,Petar Kotevski,,Engineering,CHARACTER ENGINEERING LEAD,,,core,L187
halo-reach,70,Luke Ledwich,,QA,TEST DEVELOPER,,,core,L189
