game_id,name,roles
halo-2,Aaron Lieberman,Test Tools Engineering
halo-2,Adrian Brown,Additional Test
halo-2,Adrian Mark Perez,Engineering
halo-2,Alexander Seropian,Special Thanks
halo-2,Allyn Iwane,Contract Test Team
halo-2,Alta Hartmann,Bungie Princesses
halo-2,Amanda Anderson,Bungie Princesses
halo-2,Amelia Lacenski,Contract Test Team
halo-2,Andy McKaige,Artificial Intelligence Cast
halo-2,Anthony Smith,Xbox Platform & Xbox Live
halo-2,Bart House,Engineering
halo-2,Ben Wallace,Engineering Leads
halo-2,Bernie Freidin,Engineering
halo-2,Boyd Multerer,Xbox Platform & Xbox Live
halo-2,Brandon Anthony,Contract Test Team
halo-2,Brent E Curtis,Xbox Platform & Xbox Live
halo-2,Brian Jarrard,Bungie.net Lead
halo-2,Brian Posehn,Artificial Intelligence Cast
halo-2,C. Paul Johnson,Sound Designer
halo-2,CJ Cowan,Cinematic Designer
halo-2,Caitlin Sullivan,User Experience
halo-2,Cameron Payne,Xbox Marketing | Xbox PR
halo-2,Carlos Anicama,Contract Test Team
halo-2,Charles Gough,Engineering Leads
halo-2,Chris Butcher,Engineering Leads
halo-2,Chris Carney,Lead Multiplayer Environment Artist
halo-2,Chris Edgerly,Artificial Intelligence Cast
halo-2,Chris Y. J. Lee,Additional Single-Player Environment Art
halo-2,Christopher Barney,Additional Bungie.net Support
halo-2,Christopher Barrett,Lead Environment Artists
halo-2,Christopher Killian,Contract Test Team
halo-2,Chuck Blevens,Xbox Marketing | Xbox PR
halo-2,Claire Jennings,Additional Bungie.net Support
halo-2,Curtis Creamer,Producers
halo-2,Damien Neff,Additional Engineering
halo-2,Daniel McGillicuddy,Xbox Platform & Xbox Live
halo-2,David Candland,User Interface
halo-2,David Cross,Artificial Intelligence Cast
halo-2,David Dunn,Lead Environment Artists
halo-2,David Scully,Cinematic Cast | Artificial Intelligence Cast
halo-2,Dawn Hershey,Additional Support
halo-2,Dee Bradley Baker,Cinematic Cast
halo-2,Domenic Koeplin,Additional Test
halo-2,Doug Boyce,Test Leads
halo-2,Dàmiàn Isla,Engineering
halo-2,Eamon McKenzie,Engineering
halo-2,Ed Fries,Special Thanks
halo-2,Eddie Smith,Matte Painting
halo-2,Eric Arroyo,3D Artists
halo-2,Esmerelda McQuillan,Additional Support
halo-2,Frank Capezzutto III,Single-Player Environment Artists
halo-2,Frank O'Connor,Bungie.net Team
halo-2,Genevieve Waldman,Xbox Marketing | Xbox PR
halo-2,Graham Bartlett,Contract Test Team
halo-2,Greg Snook,Engineering
halo-2,Hamilton Camp,Cinematic Cast
halo-2,Hamilton Chu,Producers
halo-2,Hans Benson,Contract Test Team
halo-2,Hao Chen,Engineering
halo-2,Hardy F. LeBel Sr.,Additional Mission Design
halo-2,Harold Ryan,"Test Manager, Producer Bungie.net"
halo-2,Hung-Hsi Chen,Contract Test Team
halo-2,J. David Atherton,Additional Support
halo-2,Jaime Griesemer,Design Leads
halo-2,James McQuillan,Additional Support
halo-2,Jamie Evans,Test Leads
halo-2,Jason Jones,Project Lead
halo-2,Jason Major,Engineering
halo-2,Jason Shirley,Localization
halo-2,Jason Strayer,Xbox Platform & Xbox Live
halo-2,Jay Weinland,Audio Lead
halo-2,Jeannie Voirin-Gerde,Manual Design
halo-2,Jeffrey E. Cloud,Contract Test Team
halo-2,Jen Martin,Xbox Marketing | Xbox PR
halo-2,Jen Taylor,Cinematic Cast
halo-2,Jeremiah Pieschl,Contract Test Team
halo-2,Jeremy Fischer,Additional Test
halo-2,Jeremy Fones,Additional Animation
halo-2,John Butkus,"Animators, Game & Cinematic"
halo-2,John Hopson,User Testing
halo-2,John Kassir,Artificial Intelligence Cast
halo-2,John Michael Higgins,Cinematic Cast
halo-2,Joseph E. Ezell,Contract Test Team
halo-2,Joseph Staten,"Writer, Director of Cinematics | Artificial Intelligence Cast"
halo-2,Juan Ramirez,3D Artists
halo-2,Julie Benz,Cinematic Cast
