person_id,display_name,variants,first_game,last_game,game_count,games,span_years,largest_gap_years,uncertain
aakash-mandhar,Aakash Mandhar,Aakash Mandhar,halo-mcc,halo-5,2,halo-mcc|halo-5,1,1,False
aaron-amlag,Aaron Amlag,Aaron Amlag,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
aaron-baumgardner,Aaron Baumgardner,Aaron Baumgardner,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
aaron-blows,Aaron Blows,Aaron Blows,halo-mcc-2021,halo-mcc-2021,1,halo-mcc-2021,0,0,False
aaron-brindell,Aaron Brindell,Aaron Brindell,halo-mcc-2021,halo-mcc-2021,1,halo-mcc-2021,0,0,False
aaron-chiasson,Aaron Chiasson,Aaron Chiasson,halo-5,halo-5,1,halo-5,0,0,False
aaron-cook,Aaron Cook,Aaron Cook|Aaron Hamilton Cook,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
aaron-damyen,Aaron Damyen,Aaron Damyen,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
aaron-groening,Aaron Groening,Aaron Groening,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
aaron-hachenberg,Aaron Hachenberg,Aaron Hachenberg,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
aaron-hawley,Aaron Hawley,Aaron Hawley,halo-mcc,halo-mcc,1,halo-mcc,0,0,False
aaron-heth,Aaron Heth,Aaron Heth,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
aaron-hildebrandt,Aaron Hildebrandt,Aaron Hildebrandt|Aaron Scott Hildebrandt,halo-cea,halo-mcc,2,halo-cea|halo-mcc,3,3,False
aaron-hofsass,Aaron Hofsass,Aaron Hofsass,halo-infinite,halo-campaign-evolved,2,halo-infinite|halo-campaign-evolved,5,5,False
aaron-ingram,Aaron Ingram,Aaron Ingram,halo-mcc-2021,halo-mcc-2021,1,halo-mcc-2021,0,0,False
aaron-leiby,Aaron Leiby,Aaron Leiby,halo-4,halo-4,1,halo-4,0,0,False
aaron-lemay,Aaron Lemay,Aaron Lemay|Aaron LeMay,halo-3,halo-reach,3,halo-3|halo-3-odst|halo-reach,3,2,False
aaron-lieberman,Aaron Lieberman,Aaron Lieberman,halo-2,halo-reach,4,halo-2|halo-3|halo-3-odst|halo-reach,6,3,False
aaron-linde,Aaron Linde,Aaron Linde,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
aaron-medina,Aaron Medina,Aaron Medina,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
aaron-nicholls,Aaron Nicholls,Aaron Nicholls,halo-3,halo-4,3,halo-3|halo-3-odst|halo-4,5,3,False
aaron-panagos,Aaron Panagos,Aaron Panagos,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
aaron-pendleton,Aaron Pendleton,Aaron Pendleton,halo-cea,halo-mcc-2021,2,halo-cea|halo-mcc-2021,10,10,False
aaron-sternlicht,Aaron Sternlicht,Aaron Sternlicht,halo-3,halo-3,1,halo-3,0,0,False
aaron-stokke,Aaron Stokke,Aaron Stokke,halo-4,halo-4,1,halo-4,0,0,False
aaron-stroup,Aaron Stroup,Aaron Stroup,halo-campaign-evolved,halo-campaign-evolved,1,halo-campaign-evolved,0,0,False
aaron-travis,Aaron Travis,Aaron Travis,halo-mcc-2021,halo-infinite,2,halo-mcc-2021|halo-infinite,0,0,False
aaron-ward,Aaron Ward,Aaron Ward,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
aaron-wilson,Aaron Wilson,Aaron Wilson,halo-infinite,halo-infinite,1,halo-infinite,0,0,False
abdelkader-behloul,Abdelkader Behloul,Abdelkader Behloul,halo-campaign-evolved,halo-campaign-evolved,1,halo-campaign-evolved,0,0,False
