game_id,source_ref,heading
halo-2,L100,Credits / Art / Additional 3D Art
halo-2,L102,Credits / Art / Senior Animator
halo-2,L103,Credits / Art / Senior Animator
halo-2,L105,"Credits / Art / Animators, Game & Cinematic"
halo-2,L106,"Credits / Art / Animators, Game & Cinematic"
halo-2,L107,"Credits / Art / Animators, Game & Cinematic"
halo-2,L108,"Credits / Art / Animators, Game & Cinematic"
halo-2,L110,Credits / Art / Additional Animation by
halo-2,L111,Credits / Art / Additional Animation by
halo-2,L112,Credits / Art / Additional Animation by
halo-2,L113,Credits / Art / Additional Animation by
halo-2,L115,Credits / Art / Lead Environment Artists
halo-2,L116,Credits / Art / Lead Environment Artists
halo-2,L117,Credits / Art / Lead Environment Artists
halo-2,L119,Credits / Art / Single-Player Environment Artists
halo-2,L120,Credits / Art / Single-Player Environment Artists
halo-2,L121,Credits / Art / Single-Player Environment Artists
halo-2,L122,Credits / Art / Single-Player Environment Artists
halo-2,L123,Credits / Art / Single-Player Environment Artists
halo-2,L124,Credits / Art / Single-Player Environment Artists
halo-2,L125,Credits / Art / Single-Player Environment Artists
halo-2,L126,Credits / Art / Single-Player Environment Artists
halo-2,L128,Credits / Art / Additional Single-Player Environment Art
halo-2,L129,Credits / Art / Additional Single-Player Environment Art
halo-2,L131,Credits / Art / Lead Multiplayer Environment Artist
halo-2,L132,Credits / Art / Lead Multiplayer Environment Artist
halo-2,L134,Credits / Art / Multiplayer Environment Artist
halo-2,L135,Credits / Art / Multiplayer Environment Artist
halo-2,L137,Credits / Art / User Interface Art and Design
halo-2,L138,Credits / Art / User Interface Art and Design
halo-2,L14,Credits
halo-2,L140,Credits / Art / Production Manager & Technical Artist
halo-2,L141,Credits / Art / Production Manager & Technical Artist
halo-2,L143,Credits / Art / Effects Artist
halo-2,L144,Credits / Art / Effects Artist
halo-2,L146,"Credits / Art / Concept Art, 2D & Matte Painting"
halo-2,L147,"Credits / Art / Concept Art, 2D & Matte Painting"
halo-2,L15,Credits
halo-2,L150,Credits / Audio / Audio Lead
halo-2,L151,Credits / Audio / Audio Lead
halo-2,L153,Credits / Audio / Sound Designer
halo-2,L154,Credits / Audio / Sound Designer
halo-2,L157,Credits / Test / Test Leads
halo-2,L158,Credits / Test / Test Leads
halo-2,L159,Credits / Test / Test Leads
halo-2,L160,Credits / Test / Test Leads
halo-2,L162,Credits / Test / Test Tools Engineering
halo-2,L163,Credits / Test / Test Tools Engineering
halo-2,L164,Credits / Test / Test Tools Engineering
halo-2,L165,Credits / Test / Test Tools Engineering
halo-2,L167,Credits / Test / Software Test Engineers
halo-2,L168,Credits / Test / Software Test Engineers
halo-2,L169,Credits / Test / Software Test Engineers
halo-2,L17,Credits / Project Lead
halo-2,L170,Credits / Test / Software Test Engineers
halo-2,L173,Credits / Bungie.net Team / Bungie Community Lead
halo-2,L174,Credits / Bungie.net Team / Bungie Community Lead
halo-2,L176,Credits / Bungie.net Team / Community Team
halo-2,L177,Credits / Bungie.net Team / Community Team
halo-2,L178,Credits / Bungie.net Team / Community Team
halo-2,L179,Credits / Bungie.net Team / Community Team
halo-2,L18,Credits / Project Lead
halo-2,L180,Credits / Bungie.net Team / Community Team
halo-2,L182,Credits / Bungie.net Team / Additional Community Support
halo-2,L183,Credits / Bungie.net Team / Additional Community Support
halo-2,L184,Credits / Bungie.net Team / Additional Community Support
halo-2,L185,Credits / Bungie.net Team / Additional Community Support
halo-2,L186,Credits / Bungie.net Team / Additional Community Support
halo-2,L188,Credits / Bungie.net Team / Administrative Assistant & Bungie Princess
halo-2,L189,Credits / Bungie.net Team / Administrative Assistant & Bungie Princess
halo-2,L191,Credits / Bungie.net Team / Additional Administrative Support
halo-2,L192,Credits / Bungie.net Team / Additional Administrative Support
halo-2,L193,Credits / Bungie.net Team / Additional Administrative Support
halo-2,L195,Credits / Additional Support
halo-2,L196,Credits / Additional Support
halo-2,L197,Credits / Additional Support
halo-2,L198,Credits / Additional Support
halo-2,L199,Credits / Additional Support
halo-2,L20,Credits / Executive Producer
halo-2,L200,Credits / Additional Support
halo-2,L201,Credits / Additional Support
halo-2,L202,Credits / Additional Support
halo-2,L203,Credits / Additional Support
halo-2,L204,Credits / Additional Support
halo-2,L205,Credits / Additional Support
halo-2,L206,Credits / Additional Support
halo-2,L208,Credits / Special Thanks
halo-2,L209,Credits / Special Thanks
halo-2,L21,Credits / Executive Producer
halo-2,L210,Credits / Special Thanks
halo-2,L211,Credits / Special Thanks
halo-2,L212,Credits / Special Thanks
halo-2,L213,Credits / Special Thanks
halo-2,L214,Credits / Special Thanks
halo-2,L215,Credits / Special Thanks
halo-2,L216,Credits / Special Thanks
halo-2,L217,Credits / Special Thanks
halo-2,L218,Credits / Special Thanks
halo-2,L219,Credits / Special Thanks
halo-2,L220,Credits / Special Thanks
halo-2,L221,Credits / Special Thanks
halo-2,L222,Credits / Special Thanks
halo-2,L223,Credits / Special Thanks
halo-2,L224,Credits / Special Thanks
halo-2,L227,Credits / Cinematic Cast / Cinematic Cast (in alphabetical order)
halo-2,L228,Credits / Cinematic Cast / Cinematic Cast (in alphabetical order)
halo-2,L229,Credits / Cinematic Cast / Cinematic Cast (in alphabetical order)
halo-2,L23,Credits / Engineering Leads
