from_game,to_game,count
halo-2,halo-3,91
halo-2,halo-3-odst,5
halo-2,halo-4,3
halo-2,halo-5,4
halo-2,halo-campaign-evolved,1
halo-2,halo-cea,3
halo-2,halo-mcc,1
halo-2,halo-reach,1
halo-3,halo-3-odst,171
halo-3,halo-4,4
halo-3,halo-5,5
halo-3,halo-campaign-evolved,1
halo-3,halo-cea,4
halo-3,halo-infinite,5
halo-3,halo-mcc,3
halo-3,halo-reach,19
halo-3,mcc-2018-2021,1
halo-3-odst,halo-4,11
halo-3-odst,halo-campaign-evolved,3
halo-3-odst,halo-cea,11
halo-3-odst,halo-infinite,4
halo-3-odst,halo-reach,200
halo-3-odst,mcc-2018-2021,1
halo-4,halo-5,245
halo-4,halo-campaign-evolved,6
halo-4,halo-infinite,30
halo-4,halo-mcc,77
halo-4,mcc-2018-2021,7
halo-5,halo-campaign-evolved,3
halo-5,halo-infinite,222
halo-5,mcc-2018-2021,66
halo-ce,halo-2,57
halo-ce,halo-3,3
halo-ce,halo-3-odst,1
halo-ce,halo-campaign-evolved,5
halo-cea,halo-4,88
halo-cea,halo-campaign-evolved,2
halo-cea,halo-infinite,6
halo-cea,halo-mcc,38
halo-cea,mcc-2018-2021,19
halo-infinite,halo-campaign-evolved,264
halo-mcc,halo-5,156
halo-mcc,halo-campaign-evolved,2
halo-mcc,halo-infinite,13
halo-mcc,mcc-2018-2021,23
halo-reach,halo-4,41
halo-reach,halo-5,5
halo-reach,halo-campaign-evolved,14
halo-reach,halo-cea,25
halo-reach,halo-infinite,3
halo-reach,halo-mcc,2
halo-reach,mcc-2018-2021,3
mcc-2018-2021,halo-campaign-evolved,6
mcc-2018-2021,halo-infinite,260
