game_id,year,sequence,headcount,newcomers,returning,continuing_from_previous,departures,contractors
halo-ce,2001,1,96,96,0,0,30,0
halo-2,2004,2,187,130,0,57,78,1
halo-3,2007,3,422,328,3,91,209,188
halo-3-odst,2009,4,330,153,6,171,100,80
halo-reach,2010,5,398,178,20,200,305,141
halo-cea,2011,6,368,325,18,25,215,286
halo-4,2012,7,958,811,59,88,593,471
halo-mcc,2014,8,969,848,44,77,775,827
halo-5,2015,9,982,567,259,156,691,213
halo-mcc-2018,2018,10,43,43,0,0,43,43
halo-mcc-2021,2021,11,833,713,54,66,567,692
halo-infinite,2021,12,2631,2088,283,260,2367,1914
halo-mcc-2025,2025,13,0,0,0,0,0,0
halo-campaign-evolved,2026,14,1626,1319,43,264,1626,1329
